-------------START AVALIABLE PAYLOADS------------

Framework Payloads (1706 total) [--payload <value>]
===================================================

    Name                                                               Description
    cmd/windows/powershell/patchupmeterpreter/reverse_ipv6_tcp         Execute an x86 payload from a command via PowerShell. Connect back to the attacker over IPv6
    cmd/windows/powershell/patchupmeterpreter/reverse_nonx_tcp         Execute an x86 payload from a command via PowerShell. Connect back to the attacker (No NX)
    cmd/windows/powershell/patchupmeterpreter/reverse_ord_tcp          Execute an x86 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/patchupmeterpreter/reverse_tcp              Execute an x86 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/patchupmeterpreter/reverse_tcp_allports     Execute an x86 payload from a command via PowerShell. Try to connect back to the attacker, on all possible ports (1-65535, slowly)
    cmd/windows/powershell/patchupmeterpreter/reverse_tcp_dns          Execute an x86 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/patchupmeterpreter/reverse_tcp_rc4          Execute an x86 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/patchupmeterpreter/reverse_tcp_rc4_dns      Execute an x86 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/patchupmeterpreter/reverse_tcp_uuid         Execute an x86 payload from a command via PowerShell. Connect back to the attacker with UUID Support
    cmd/windows/powershell/peinject/bind_hidden_ipknock_tcp            Execute an x86 payload from a command via PowerShell. Listen for a connection. First, the port will need to be knocked from the IP defined in KHOST. This IP will work as an authentication method (you can spoof it with tools like hping). After that you could get your shellcode from any IP. The socket will appear as "closed," thus helping to hide the shellcode
    cmd/windows/powershell/peinject/bind_hidden_tcp                    Execute an x86 payload from a command via PowerShell. Listen for a connection from a hidden port and spawn a command shell to the allowed host.
    cmd/windows/powershell/peinject/bind_ipv6_tcp                      Execute an x86 payload from a command via PowerShell. Listen for an IPv6 connection (Windows x86)
    cmd/windows/powershell/peinject/bind_ipv6_tcp_uuid                 Execute an x86 payload from a command via PowerShell. Listen for an IPv6 connection with UUID Support (Windows x86)
    cmd/windows/powershell/peinject/bind_named_pipe                    Execute an x86 payload from a command via PowerShell. Listen for a pipe connection (Windows x86)
    cmd/windows/powershell/peinject/bind_nonx_tcp                      Execute an x86 payload from a command via PowerShell. Listen for a connection (No NX)
    cmd/windows/powershell/peinject/bind_tcp                           Execute an x86 payload from a command via PowerShell. Listen for a connection (Windows x86)
    cmd/windows/powershell/peinject/bind_tcp_rc4                       Execute an x86 payload from a command via PowerShell. Listen for a connection
    cmd/windows/powershell/peinject/bind_tcp_uuid                      Execute an x86 payload from a command via PowerShell. Listen for a connection with UUID Support (Windows x86)
    cmd/windows/powershell/peinject/find_tag                           Execute an x86 payload from a command via PowerShell. Use an established connection
    cmd/windows/powershell/peinject/reverse_ipv6_tcp                   Execute an x86 payload from a command via PowerShell. Connect back to the attacker over IPv6
    cmd/windows/powershell/peinject/reverse_named_pipe                 Execute an x86 payload from a command via PowerShell. Connect back to the attacker via a named pipe pivot
    cmd/windows/powershell/peinject/reverse_nonx_tcp                   Execute an x86 payload from a command via PowerShell. Connect back to the attacker (No NX)
    cmd/windows/powershell/peinject/reverse_ord_tcp                    Execute an x86 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/peinject/reverse_tcp                        Execute an x86 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/peinject/reverse_tcp_allports               Execute an x86 payload from a command via PowerShell. Try to connect back to the attacker, on all possible ports (1-65535, slowly)
    cmd/windows/powershell/peinject/reverse_tcp_dns                    Execute an x86 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/peinject/reverse_tcp_rc4                    Execute an x86 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/peinject/reverse_tcp_rc4_dns                Execute an x86 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/peinject/reverse_tcp_uuid                   Execute an x86 payload from a command via PowerShell. Connect back to the attacker with UUID Support
    cmd/windows/powershell/pingback_bind_tcp                           Execute an x86 payload from a command via PowerShell. Open a socket and report UUID when a connection is received (Windows x86)
    cmd/windows/powershell/pingback_reverse_tcp                        Execute an x86 payload from a command via PowerShell. Connect back to attacker and report UUID (Windows x86)
    cmd/windows/powershell/powershell_bind_tcp                         Execute an x86 payload from a command via PowerShell
    cmd/windows/powershell/powershell_reverse_tcp                      Execute an x86 payload from a command via PowerShell
    cmd/windows/powershell/powershell_reverse_tcp_ssl                  Execute an x86 payload from a command via PowerShell
    cmd/windows/powershell/shell/bind_hidden_ipknock_tcp               Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Listen for a connection. First, the port will need to be knocked from the IP defined in KHOST. This IP will work as an authentication method (you can spoof it with tools like hping). After that you could get your shellcode from any IP. The socket will appear as "closed," thus helping to hide the shellcode
    cmd/windows/powershell/shell/bind_hidden_tcp                       Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Listen for a connection from a hidden port and spawn a command shell to the allowed host.
    cmd/windows/powershell/shell/bind_ipv6_tcp                         Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Listen for an IPv6 connection (Windows x86)
    cmd/windows/powershell/shell/bind_ipv6_tcp_uuid                    Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Listen for an IPv6 connection with UUID Support (Windows x86)
    cmd/windows/powershell/shell/bind_named_pipe                       Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Listen for a pipe connection (Windows x86)
    cmd/windows/powershell/shell/bind_nonx_tcp                         Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Listen for a connection (No NX)
    cmd/windows/powershell/shell/bind_tcp                              Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Listen for a connection (Windows x86)
    cmd/windows/powershell/shell/bind_tcp_rc4                          Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Listen for a connection
    cmd/windows/powershell/shell/bind_tcp_uuid                         Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Listen for a connection with UUID Support (Windows x86)
    cmd/windows/powershell/shell/find_tag                              Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Use an established connection
    cmd/windows/powershell/shell/reverse_ipv6_tcp                      Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Connect back to the attacker over IPv6
    cmd/windows/powershell/shell/reverse_nonx_tcp                      Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Connect back to the attacker (No NX)
    cmd/windows/powershell/shell/reverse_ord_tcp                       Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Connect back to the attacker
    cmd/windows/powershell/shell/reverse_tcp                           Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Connect back to the attacker
    cmd/windows/powershell/shell/reverse_tcp_allports                  Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Try to connect back to the attacker, on all possible ports (1-65535, slowly)
    cmd/windows/powershell/shell/reverse_tcp_dns                       Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Connect back to the attacker
    cmd/windows/powershell/shell/reverse_tcp_rc4                       Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Connect back to the attacker
    cmd/windows/powershell/shell/reverse_tcp_rc4_dns                   Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Connect back to the attacker
    cmd/windows/powershell/shell/reverse_tcp_uuid                      Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Connect back to the attacker with UUID Support
    cmd/windows/powershell/shell/reverse_udp                           Execute an x86 payload from a command via PowerShell. Spawn a piped command shell (staged). Connect back to the attacker with UUID Support
    cmd/windows/powershell/shell_bind_tcp                              Execute an x86 payload from a command via PowerShell. Listen for a connection and spawn a command shell
    cmd/windows/powershell/shell_bind_tcp_xpfw                         Execute an x86 payload from a command via PowerShell. Disable the Windows ICF, then listen for a connection and spawn a command shell
    cmd/windows/powershell/shell_hidden_bind_tcp                       Execute an x86 payload from a command via PowerShell. Listen for a connection from certain IP and spawn a command shell. The shellcode will reply with a RST packet if the connections is not coming from the IP defined in AHOST. This way the port will appear as "closed" helping us to hide the shellcode.
    cmd/windows/powershell/shell_reverse_tcp                           Execute an x86 payload from a command via PowerShell. Connect back to attacker and spawn a command shell
    cmd/windows/powershell/speak_pwned                                 Execute an x86 payload from a command via PowerShell
    cmd/windows/powershell/upexec/bind_hidden_ipknock_tcp              Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Listen for a connection. First, the port will need to be knocked from the IP defined in KHOST. This IP will work as an authentication method (you can spoof it with tools like hping). After that you could get your shellcode from any IP. The socket will appear as "closed," thus helping to hide the shellcode
    cmd/windows/powershell/upexec/bind_hidden_tcp                      Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Listen for a connection from a hidden port and spawn a command shell to the allowed host.
    cmd/windows/powershell/upexec/bind_ipv6_tcp                        Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Listen for an IPv6 connection (Windows x86)
    cmd/windows/powershell/upexec/bind_ipv6_tcp_uuid                   Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Listen for an IPv6 connection with UUID Support (Windows x86)
    cmd/windows/powershell/upexec/bind_named_pipe                      Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Listen for a pipe connection (Windows x86)
    cmd/windows/powershell/upexec/bind_nonx_tcp                        Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Listen for a connection (No NX)
    cmd/windows/powershell/upexec/bind_tcp                             Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Listen for a connection (Windows x86)
    cmd/windows/powershell/upexec/bind_tcp_rc4                         Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Listen for a connection
    cmd/windows/powershell/upexec/bind_tcp_uuid                        Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Listen for a connection with UUID Support (Windows x86)
    cmd/windows/powershell/upexec/find_tag                             Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Use an established connection
    cmd/windows/powershell/upexec/reverse_ipv6_tcp                     Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Connect back to the attacker over IPv6
    cmd/windows/powershell/upexec/reverse_nonx_tcp                     Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Connect back to the attacker (No NX)
    cmd/windows/powershell/upexec/reverse_ord_tcp                      Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Connect back to the attacker
    cmd/windows/powershell/upexec/reverse_tcp                          Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Connect back to the attacker
    cmd/windows/powershell/upexec/reverse_tcp_allports                 Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Try to connect back to the attacker, on all possible ports (1-65535, slowly)
    cmd/windows/powershell/upexec/reverse_tcp_dns                      Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Connect back to the attacker
    cmd/windows/powershell/upexec/reverse_tcp_rc4                      Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Connect back to the attacker
    cmd/windows/powershell/upexec/reverse_tcp_rc4_dns                  Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Connect back to the attacker
    cmd/windows/powershell/upexec/reverse_tcp_uuid                     Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Connect back to the attacker with UUID Support
    cmd/windows/powershell/upexec/reverse_udp                          Execute an x86 payload from a command via PowerShell. Uploads an executable and runs it (staged). Connect back to the attacker with UUID Support
    cmd/windows/powershell/vncinject/bind_hidden_ipknock_tcp           Execute an x86 payload from a command via PowerShell. Listen for a connection. First, the port will need to be knocked from the IP defined in KHOST. This IP will work as an authentication method (you can spoof it with tools like hping). After that you could get your shellcode from any IP. The socket will appear as "closed," thus helping to hide the shellcode
    cmd/windows/powershell/vncinject/bind_hidden_tcp                   Execute an x86 payload from a command via PowerShell. Listen for a connection from a hidden port and spawn a command shell to the allowed host.
    cmd/windows/powershell/vncinject/bind_ipv6_tcp                     Execute an x86 payload from a command via PowerShell. Listen for an IPv6 connection (Windows x86)
    cmd/windows/powershell/vncinject/bind_ipv6_tcp_uuid                Execute an x86 payload from a command via PowerShell. Listen for an IPv6 connection with UUID Support (Windows x86)
    cmd/windows/powershell/vncinject/bind_named_pipe                   Execute an x86 payload from a command via PowerShell. Listen for a pipe connection (Windows x86)
    cmd/windows/powershell/vncinject/bind_nonx_tcp                     Execute an x86 payload from a command via PowerShell. Listen for a connection (No NX)
    cmd/windows/powershell/vncinject/bind_tcp                          Execute an x86 payload from a command via PowerShell. Listen for a connection (Windows x86)
    cmd/windows/powershell/vncinject/bind_tcp_rc4                      Execute an x86 payload from a command via PowerShell. Listen for a connection
    cmd/windows/powershell/vncinject/bind_tcp_uuid                     Execute an x86 payload from a command via PowerShell. Listen for a connection with UUID Support (Windows x86)
    cmd/windows/powershell/vncinject/find_tag                          Execute an x86 payload from a command via PowerShell. Use an established connection
    cmd/windows/powershell/vncinject/reverse_http                      Execute an x86 payload from a command via PowerShell. Tunnel communication over HTTP (Windows wininet)
    cmd/windows/powershell/vncinject/reverse_http_proxy_pstore         Execute an x86 payload from a command via PowerShell. Tunnel communication over HTTP
    cmd/windows/powershell/vncinject/reverse_ipv6_tcp                  Execute an x86 payload from a command via PowerShell. Connect back to the attacker over IPv6
    cmd/windows/powershell/vncinject/reverse_nonx_tcp                  Execute an x86 payload from a command via PowerShell. Connect back to the attacker (No NX)
    cmd/windows/powershell/vncinject/reverse_ord_tcp                   Execute an x86 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/vncinject/reverse_tcp                       Execute an x86 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/vncinject/reverse_tcp_allports              Execute an x86 payload from a command via PowerShell. Try to connect back to the attacker, on all possible ports (1-65535, slowly)
    cmd/windows/powershell/vncinject/reverse_tcp_dns                   Execute an x86 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/vncinject/reverse_tcp_rc4                   Execute an x86 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/vncinject/reverse_tcp_rc4_dns               Execute an x86 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/vncinject/reverse_tcp_uuid                  Execute an x86 payload from a command via PowerShell. Connect back to the attacker with UUID Support
    cmd/windows/powershell/vncinject/reverse_winhttp                   Execute an x86 payload from a command via PowerShell. Tunnel communication over HTTP (Windows winhttp)
    cmd/windows/powershell/x64/custom/bind_ipv6_tcp                    Execute an x64 payload from a command via PowerShell. Custom shellcode stage. Listen for an IPv6 connection (Windows x64)
    cmd/windows/powershell/x64/custom/bind_ipv6_tcp_uuid               Execute an x64 payload from a command via PowerShell. Custom shellcode stage. Listen for an IPv6 connection with UUID Support (Windows x64)
    cmd/windows/powershell/x64/custom/bind_named_pipe                  Execute an x64 payload from a command via PowerShell. Custom shellcode stage. Listen for a pipe connection (Windows x64)
    cmd/windows/powershell/x64/custom/bind_tcp                         Execute an x64 payload from a command via PowerShell. Custom shellcode stage. Listen for a connection (Windows x64)
    cmd/windows/powershell/x64/custom/bind_tcp_rc4                     Execute an x64 payload from a command via PowerShell. Custom shellcode stage. Connect back to the attacker
    cmd/windows/powershell/x64/custom/bind_tcp_uuid                    Execute an x64 payload from a command via PowerShell. Custom shellcode stage. Listen for a connection with UUID Support (Windows x64)
    cmd/windows/powershell/x64/custom/reverse_http                     Execute an x64 payload from a command via PowerShell. Custom shellcode stage. Tunnel communication over HTTP (Windows x64 wininet)
    cmd/windows/powershell/x64/custom/reverse_https                    Execute an x64 payload from a command via PowerShell. Custom shellcode stage. Tunnel communication over HTTP (Windows x64 wininet)
    cmd/windows/powershell/x64/custom/reverse_named_pipe               Execute an x64 payload from a command via PowerShell. Custom shellcode stage. Connect back to the attacker via a named pipe pivot
    cmd/windows/powershell/x64/custom/reverse_tcp                      Execute an x64 payload from a command via PowerShell. Custom shellcode stage. Connect back to the attacker (Windows x64)
    cmd/windows/powershell/x64/custom/reverse_tcp_rc4                  Execute an x64 payload from a command via PowerShell. Custom shellcode stage. Connect back to the attacker
    cmd/windows/powershell/x64/custom/reverse_tcp_uuid                 Execute an x64 payload from a command via PowerShell. Custom shellcode stage. Connect back to the attacker with UUID Support (Windows x64)
    cmd/windows/powershell/x64/custom/reverse_winhttp                  Execute an x64 payload from a command via PowerShell. Custom shellcode stage. Tunnel communication over HTTP (Windows x64 winhttp)
    cmd/windows/powershell/x64/custom/reverse_winhttps                 Execute an x64 payload from a command via PowerShell. Custom shellcode stage. Tunnel communication over HTTPS (Windows x64 winhttp)
    cmd/windows/powershell/x64/download_exec                           Execute an x64 payload from a command via PowerShell
    cmd/windows/powershell/x64/encrypted_shell/reverse_tcp             Execute an x64 payload from a command via PowerShell. Spawn a piped command shell (staged). Connect to MSF and read in stage
    cmd/windows/powershell/x64/exec                                    Execute an x64 payload from a command via PowerShell. Execute an arbitrary command (Windows x64)
    cmd/windows/powershell/x64/loadlibrary                             Execute an x64 payload from a command via PowerShell. Load an arbitrary x64 library path
    cmd/windows/powershell/x64/messagebox                              Execute an x64 payload from a command via PowerShell. Spawn a dialog via MessageBox using a customizable title, text & icon
    cmd/windows/powershell/x64/meterpreter/bind_ipv6_tcp               Execute an x64 payload from a command via PowerShell. Listen for an IPv6 connection (Windows x64)
    cmd/windows/powershell/x64/meterpreter/bind_ipv6_tcp_uuid          Execute an x64 payload from a command via PowerShell. Listen for an IPv6 connection with UUID Support (Windows x64)
    cmd/windows/powershell/x64/meterpreter/bind_named_pipe             Execute an x64 payload from a command via PowerShell. Listen for a pipe connection (Windows x64)
    cmd/windows/powershell/x64/meterpreter/bind_tcp                    Execute an x64 payload from a command via PowerShell. Listen for a connection (Windows x64)
    cmd/windows/powershell/x64/meterpreter/bind_tcp_rc4                Execute an x64 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/x64/meterpreter/bind_tcp_uuid               Execute an x64 payload from a command via PowerShell. Listen for a connection with UUID Support (Windows x64)
    cmd/windows/powershell/x64/meterpreter/reverse_http                Execute an x64 payload from a command via PowerShell. Tunnel communication over HTTP (Windows x64 wininet)
    cmd/windows/powershell/x64/meterpreter/reverse_https               Execute an x64 payload from a command via PowerShell. Tunnel communication over HTTP (Windows x64 wininet)
    cmd/windows/powershell/x64/meterpreter/reverse_named_pipe          Execute an x64 payload from a command via PowerShell. Connect back to the attacker via a named pipe pivot
    cmd/windows/powershell/x64/meterpreter/reverse_tcp                 Execute an x64 payload from a command via PowerShell. Connect back to the attacker (Windows x64)
    cmd/windows/powershell/x64/meterpreter/reverse_tcp_rc4             Execute an x64 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/x64/meterpreter/reverse_tcp_uuid            Execute an x64 payload from a command via PowerShell. Connect back to the attacker with UUID Support (Windows x64)
    cmd/windows/powershell/x64/meterpreter/reverse_winhttp             Execute an x64 payload from a command via PowerShell. Tunnel communication over HTTP (Windows x64 winhttp)
    cmd/windows/powershell/x64/meterpreter/reverse_winhttps            Execute an x64 payload from a command via PowerShell. Tunnel communication over HTTPS (Windows x64 winhttp)
    cmd/windows/powershell/x64/peinject/bind_ipv6_tcp                  Execute an x64 payload from a command via PowerShell. Listen for an IPv6 connection (Windows x64)
    cmd/windows/powershell/x64/peinject/bind_ipv6_tcp_uuid             Execute an x64 payload from a command via PowerShell. Listen for an IPv6 connection with UUID Support (Windows x64)
    cmd/windows/powershell/x64/peinject/bind_named_pipe                Execute an x64 payload from a command via PowerShell. Listen for a pipe connection (Windows x64)
    cmd/windows/powershell/x64/peinject/bind_tcp                       Execute an x64 payload from a command via PowerShell. Listen for a connection (Windows x64)
    cmd/windows/powershell/x64/peinject/bind_tcp_rc4                   Execute an x64 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/x64/peinject/bind_tcp_uuid                  Execute an x64 payload from a command via PowerShell. Listen for a connection with UUID Support (Windows x64)
    cmd/windows/powershell/x64/peinject/reverse_named_pipe             Execute an x64 payload from a command via PowerShell. Connect back to the attacker via a named pipe pivot
    cmd/windows/powershell/x64/peinject/reverse_tcp                    Execute an x64 payload from a command via PowerShell. Connect back to the attacker (Windows x64)
    cmd/windows/powershell/x64/peinject/reverse_tcp_rc4                Execute an x64 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/x64/peinject/reverse_tcp_uuid               Execute an x64 payload from a command via PowerShell. Connect back to the attacker with UUID Support (Windows x64)
    cmd/windows/powershell/x64/pingback_reverse_tcp                    Execute an x64 payload from a command via PowerShell. Connect back to attacker and report UUID (Windows x64)
    cmd/windows/powershell/x64/powershell_bind_tcp                     Execute an x64 payload from a command via PowerShell
    cmd/windows/powershell/x64/powershell_reverse_tcp                  Execute an x64 payload from a command via PowerShell
    cmd/windows/powershell/x64/powershell_reverse_tcp_ssl              Execute an x64 payload from a command via PowerShell
    cmd/windows/powershell/x64/shell/bind_ipv6_tcp                     Execute an x64 payload from a command via PowerShell. Spawn a piped command shell (Windows x64) (staged). Listen for an IPv6 connection (Windows x64)
    cmd/windows/powershell/x64/shell/bind_ipv6_tcp_uuid                Execute an x64 payload from a command via PowerShell. Spawn a piped command shell (Windows x64) (staged). Listen for an IPv6 connection with UUID Support (Windows x64)
    cmd/windows/powershell/x64/shell/bind_named_pipe                   Execute an x64 payload from a command via PowerShell. Spawn a piped command shell (Windows x64) (staged). Listen for a pipe connection (Windows x64)
    cmd/windows/powershell/x64/shell/bind_tcp                          Execute an x64 payload from a command via PowerShell. Spawn a piped command shell (Windows x64) (staged). Listen for a connection (Windows x64)
    cmd/windows/powershell/x64/shell/bind_tcp_rc4                      Execute an x64 payload from a command via PowerShell. Spawn a piped command shell (Windows x64) (staged). Connect back to the attacker
    cmd/windows/powershell/x64/shell/bind_tcp_uuid                     Execute an x64 payload from a command via PowerShell. Spawn a piped command shell (Windows x64) (staged). Listen for a connection with UUID Support (Windows x64)
    cmd/windows/powershell/x64/shell/reverse_tcp                       Execute an x64 payload from a command via PowerShell. Spawn a piped command shell (Windows x64) (staged). Connect back to the attacker (Windows x64)
    cmd/windows/powershell/x64/shell/reverse_tcp_rc4                   Execute an x64 payload from a command via PowerShell. Spawn a piped command shell (Windows x64) (staged). Connect back to the attacker
    cmd/windows/powershell/x64/shell/reverse_tcp_uuid                  Execute an x64 payload from a command via PowerShell. Spawn a piped command shell (Windows x64) (staged). Connect back to the attacker with UUID Support (Windows x64)
    cmd/windows/powershell/x64/shell_bind_tcp                          Execute an x64 payload from a command via PowerShell. Listen for a connection and spawn a command shell (Windows x64)
    cmd/windows/powershell/x64/shell_reverse_tcp                       Execute an x64 payload from a command via PowerShell. Connect back to attacker and spawn a command shell (Windows x64)
    cmd/windows/powershell/x64/vncinject/bind_ipv6_tcp                 Execute an x64 payload from a command via PowerShell. Listen for an IPv6 connection (Windows x64)
    cmd/windows/powershell/x64/vncinject/bind_ipv6_tcp_uuid            Execute an x64 payload from a command via PowerShell. Listen for an IPv6 connection with UUID Support (Windows x64)
    cmd/windows/powershell/x64/vncinject/bind_named_pipe               Execute an x64 payload from a command via PowerShell. Listen for a pipe connection (Windows x64)
    cmd/windows/powershell/x64/vncinject/bind_tcp                      Execute an x64 payload from a command via PowerShell. Listen for a connection (Windows x64)
    cmd/windows/powershell/x64/vncinject/bind_tcp_rc4                  Execute an x64 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/x64/vncinject/bind_tcp_uuid                 Execute an x64 payload from a command via PowerShell. Listen for a connection with UUID Support (Windows x64)
    cmd/windows/powershell/x64/vncinject/reverse_http                  Execute an x64 payload from a command via PowerShell. Tunnel communication over HTTP (Windows x64 wininet)
    cmd/windows/powershell/x64/vncinject/reverse_https                 Execute an x64 payload from a command via PowerShell. Tunnel communication over HTTP (Windows x64 wininet)
    cmd/windows/powershell/x64/vncinject/reverse_tcp                   Execute an x64 payload from a command via PowerShell. Connect back to the attacker (Windows x64)
    cmd/windows/powershell/x64/vncinject/reverse_tcp_rc4               Execute an x64 payload from a command via PowerShell. Connect back to the attacker
    cmd/windows/powershell/x64/vncinject/reverse_tcp_uuid              Execute an x64 payload from a command via PowerShell. Connect back to the attacker with UUID Support (Windows x64)
    cmd/windows/powershell/x64/vncinject/reverse_winhttp               Execute an x64 payload from a command via PowerShell. Tunnel communication over HTTP (Windows x64 winhttp)
    cmd/windows/powershell/x64/vncinject/reverse_winhttps              Execute an x64 payload from a command via PowerShell. Tunnel communication over HTTPS (Windows x64 winhttp)
    cmd/windows/powershell_bind_tcp                                    Interacts with a powershell session on an established socket connection
    cmd/windows/powershell_reverse_tcp                                 Interacts with a powershell session on an established socket connection
    cmd/windows/powershell_reverse_tcp_ssl                             Interacts with a powershell session on an established SSL socket connection
    cmd/windows/python/exec                                            Execute a Python payload from a command. Execute an arbitrary OS command. Compatible with Python 2.7 and 3.4+.
    cmd/windows/python/meterpreter/bind_tcp                            Execute a Python payload from a command. Run a meterpreter server in Python (compatible with 2.5-2.7 & 3.1+). Listen for a connection
    cmd/windows/python/meterpreter/bind_tcp_uuid                       Execute a Python payload from a command. Run a meterpreter server in Python (compatible with 2.5-2.7 & 3.1+). Listen for a connection with UUID Support
    cmd/windows/python/meterpreter/reverse_http                        Execute a Python payload from a command. Run a meterpreter server in Python (compatible with 2.5-2.7 & 3.1+). Tunnel communication over HTTP
    cmd/windows/python/meterpreter/reverse_https                       Execute a Python payload from a command. Run a meterpreter server in Python (compatible with 2.5-2.7 & 3.1+). Tunnel communication over HTTP using SSL
    cmd/windows/python/meterpreter/reverse_tcp                         Execute a Python payload from a command. Run a meterpreter server in Python (compatible with 2.5-2.7 & 3.1+). Connect back to the attacker
    cmd/windows/python/meterpreter/reverse_tcp_ssl                     Execute a Python payload from a command. Run a meterpreter server in Python (compatible with 2.5-2.7 & 3.1+). Reverse Python connect back stager using SSL
    cmd/windows/python/meterpreter/reverse_tcp_uuid                    Execute a Python payload from a command. Run a meterpreter server in Python (compatible with 2.5-2.7 & 3.1+). Connect back to the attacker with UUID Support
    cmd/windows/python/meterpreter_bind_tcp                            Execute a Python payload from a command. Connect to the victim and spawn a Meterpreter shell
    cmd/windows/python/meterpreter_reverse_http                        Execute a Python payload from a command. Connect back to the attacker and spawn a Meterpreter shell
    cmd/windows/python/meterpreter_reverse_https                       Execute a Python payload from a command. Connect back to the attacker and spawn a Meterpreter shell
    cmd/windows/python/meterpreter_reverse_tcp                         Execute a Python payload from a command. Connect back to the attacker and spawn a Meterpreter shell
    cmd/windows/python/pingback_bind_tcp                               Execute a Python payload from a command. Listens for a connection from the attacker, sends a UUID, then terminates
    cmd/windows/python/pingback_reverse_tcp                            Execute a Python payload from a command. Connects back to the attacker, sends a UUID, then terminates
    cmd/windows/python/shell_bind_tcp                                  Execute a Python payload from a command. Creates an interactive shell via Python, encodes with base64 by design. Compatible with Python 2.4-2.7 and 3.4+.
    cmd/windows/python/shell_reverse_sctp                              Execute a Python payload from a command. Creates an interactive shell via Python, encodes with base64 by design. Compatible with Python 2.6-2.7 and 3.4+.
    cmd/windows/python/shell_reverse_tcp                               Execute a Python payload from a command. Creates an interactive shell via Python, encodes with base64 by design. Compatible with Python 2.4-2.7 and 3.4+.
    cmd/windows/python/shell_reverse_tcp_ssl                           Execute a Python payload from a command. Creates an interactive shell via Python, uses SSL, encodes with base64 by design. Compatible with Python 2.6-2.7 and 3.4+.
    cmd/windows/python/shell_reverse_udp                               Execute a Python payload from a command. Creates an interactive shell via Python, encodes with base64 by design. Compatible with Python 2.6-2.7 and 3.4+.
    cmd/windows/reverse_lua                                            Creates an interactive shell via Lua
    cmd/windows/reverse_perl                                           Creates an interactive shell via perl
